loss,denorm_mae,val_loss,val_denorm_mae
0.6287,1.718,0.4796,1.5105
0.4272,1.3978,0.4162,1.38
0.3697,1.2896,0.3918,1.304
0.3352,1.2216,0.4079,1.3667
0.312,1.1738,0.3969,1.3046
0.2946,1.1361,0.404,1.3185
0.281,1.1056,0.3987,1.2985
0.2703,1.0805,0.397,1.2822
0.2614,1.0587,0.4192,1.3269
0.2542,1.0404,0.4057,1.2919
0.2481,1.0236,0.4089,1.2933
0.2423,1.0089,0.4079,1.28
0.2377,0.9962,0.4162,1.2955
0.2337,0.9844,0.4201,1.2984
0.2296,0.9732,0.4208,1.2931
0.2268,0.9644,0.4226,1.2948
0.224,0.9564,0.4194,1.2898
0.2216,0.9491,0.4239,1.2895
0.2189,0.9412,0.421,1.2916
0.2166,0.9337,0.4291,1.2919
0.215,0.9282,0.4323,1.3009
0.2126,0.9212,0.4279,1.2896
0.211,0.9154,0.4357,1.2893
0.21,0.912,0.4358,1.2928
0.2085,0.9071,0.4318,1.2979

