loss,denorm_mae,val_loss,val_denorm_mae
0.6754,1.7821,0.5217,1.5679
0.4805,1.4695,0.4649,1.4421
0.4359,1.3781,0.4472,1.388
0.4125,1.3268,0.439,1.3447
0.3984,1.2931,0.455,1.3953
0.3876,1.2677,0.4454,1.3414
0.381,1.2511,0.4493,1.3613
0.3746,1.2353,0.441,1.3347
0.3707,1.2245,0.4503,1.3518
0.3663,1.2139,0.4556,1.3743
0.3624,1.2039,0.4541,1.3634
0.3596,1.1968,0.4652,1.386
0.3578,1.1916,0.4479,1.3438
0.3554,1.1855,0.4521,1.3543
0.3532,1.18,0.4609,1.3698
0.3518,1.1766,0.4522,1.3329
0.3504,1.1724,0.4582,1.3479
0.3492,1.1691,0.45,1.3198
0.3479,1.1657,0.449,1.325
0.3467,1.163,0.4481,1.3218
0.3456,1.1597,0.4457,1.3178
0.3442,1.1565,0.4476,1.3187
0.3435,1.1542,0.4521,1.3265
0.343,1.153,0.4493,1.3194
0.3421,1.1507,0.4498,1.3265
