loss,denorm_mae,val_loss,val_denorm_mae
0.7553,1.9023,0.564,1.6271
0.5684,1.6365,0.5034,1.5376
0.5156,1.5499,0.4999,1.5562
0.4874,1.5011,0.4558,1.4409
0.4695,1.4689,0.4503,1.4283
0.4559,1.4431,0.4567,1.4537
0.4459,1.4242,0.4584,1.4516
0.4373,1.4073,0.4516,1.4237
0.4303,1.3937,0.4559,1.4267
0.4258,1.3844,0.4481,1.4135
0.4202,1.3726,0.4587,1.4157
0.4155,1.3646,0.4473,1.4049
0.4122,1.3572,0.451,1.4087
0.4087,1.3493,0.4474,1.395
0.4054,1.3431,0.4586,1.4175
0.4032,1.3381,0.4485,1.3853
0.4013,1.3332,0.4514,1.4036

